rarity,id,name,image_url,appeal,skill,preawakened
PR,1,"""Sweet Rewards"" Ichigo Hoshimiya",https://images.dream-wonderland.com/photokatsu/Photokatsu_0001.jpg,Premium Angel Arrow,Cute Score UP! (iv),
PR+,2,"""Playful Angel"" Ichigo Hoshimiya+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0002.jpg,Premium Angel Arrow,Cute Score UP! (iv),
SR,3,"""Macaron Time"" Ichigo Hoshimiya",https://images.dream-wonderland.com/photokatsu/Photokatsu_0003.jpg,Angel Arrow,Aura plus Appeal! (iii),
SR+,4,"""Whip Cream"" Ichigo Hoshimiya+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0004.png,Angel Arrow,Aura plus Appeal! (iii),
R,5,Ichigo Hoshimiya,https://images.dream-wonderland.com/photokatsu/Photokatsu_0005.jpg,Cute Flash,Cute Score UP! (ii),
R+,6,Ichigo Hoshimiya+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0006.png,Cute Flash,Cute Score UP! (ii),
PR,7,"""A Wish to the Milky Way"" Aoi Kiriya",https://images.dream-wonderland.com/photokatsu/Photokatsu_0007.png,Premium Cosmo Showtime,Cool Aura UP! (iv),
PR+,8,"""Shine of the Milky Way"" Aoi Kiriya+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0008.jpg,Premium Cosmo Showtime,Cool Aura UP! (iv),
SR,9,"""Prism Star"" Aoi Kiriya",https://images.dream-wonderland.com/photokatsu/Photokatsu_0009.jpg,Cosmo Showtime,Cool Aura UP! (iii),
SR+,10,"""Roller Star"" Aoi Kiriya+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0010.jpg,Cosmo Showtime,Cool Aura UP! (iii),
R,11,Aoi Kiriya,https://images.dream-wonderland.com/photokatsu/Photokatsu_0011.jpg,Cool Flash,Cool Aura UP! (ii),
R+,12,Aoi Kiriya+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0012.png,Cool Flash,Cool Aura UP! (ii),
PR,13,"""Invitation from an Ageha"" Ran Shibuki",https://images.dream-wonderland.com/photokatsu/Photokatsu_0013.jpg,Premium Butterfly Flip,Sexy plus Appeal! (iv),
PR+,14,"""Rose Princess"" Ran Shibuki+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0014.jpg,Premium Butterfly Flip,Sexy plus Appeal! (iv),
SR,15,"""Night of the Ageha"" Ran Shibuki",https://images.dream-wonderland.com/photokatsu/Photokatsu_0015.png,Butterfly Flip,Sexy Change (iii),
SR+,16,"""The Blue Rose Under the Moonlight"" Ran Shibuki+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0016.jpg,Butterfly Flip,Sexy Change (iii),
R,17,Ran Shibuki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0017.jpg,Sexy Flash,Sexy plus Appeal! (ii),
R+,18,Ran Shibuki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0018.jpg,Sexy Flash,Sexy plus Appeal! (ii),
SR,19,"""The Rainbow Alice"" Otome Arisugawa",https://images.dream-wonderland.com/photokatsu/Photokatsu_0019.png,Candy Rainbow,Pop Change (iii),
SR+,20,"""The Orange of Happiness"" Otome Arisugawa+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0020.png,Candy Rainbow,Pop Change (iii),
R,21,Otome Arisugawa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0021.png,Pop Flash,Pop Score UP! (ii),
R+,22,Otome Arisugawa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0022.png,Pop Flash,Pop Score UP! (ii),
SR,23,"""An Elegant Smile"" Yurika Tōdō",https://images.dream-wonderland.com/photokatsu/Photokatsu_0023.jpg,Clock Circus,All Score UP! (iii),
